NOME DO ESTABELECIMENTO                                                ;MED.AVALIACOES                     ;QNT.AVALIACOES                          ;TIPO DE ESTABELECIMENTO                ;CONTATO DO ESTABELECIMENTO ;ENDERECO COMPLETO                                                                                                                                                                                                  ;LOGRADOURO                                                                                                                                                     ;NUMERO  ;BAIRRO                 ;CEP
ALMA LEVE PRODUTOS NATURAIS                                            ;5,0                                ;(33)                                    ;LOJA DE PRODUTOS NATURAIS              ;(79) 99936-6833            ;AV GONÇALO ROLEMBERG LEITE, 1556 - SALA B - LUZIA, ARACAJU - SE, 49050-370                                                                                                                                         ;AV GONÇALO ROLEMBERG LEITE                                                                                                                                     ;1556    ;LUZIA                  ;49050370
SUPLEMENTO NATURAL - TOOP COR                                          ;Média de avaliações não disponível ;Quantidade de avaliações não disponível ;LOJA DE VITAMINAS E SUPLEMENTOS        ;(79) 99950-7586            ;R ARNALDO MACIEL DE ANDRADE - FAROLÂNDIA, ARACAJU - SE, 49030-490                                                                                                                                                  ;R ARNALDO MACIEL DE ANDRADE - FAROLÂNDIA                                                                                                                       ;ARACAJU ;FAROLÂNDIA             ;49030490
MAROMBA STORE AJU                                                      ;5,0                                ;(1)                                     ;LOJA DE VITAMINAS E SUPLEMENTOS        ;(79) 99929-1029            ;AV SANTA GLEIDE - OLARIA, ARACAJU - SE, 49092-125                                                                                                                                                                  ;AV SANTA GLEIDE - OLARIA                                                                                                                                       ;ARACAJU ;OLARIA                 ;49092125
CEDIS-ARACAJU O 1O. DA OMNILIFE BRASIL                                 ;3,3                                ;(3)                                     ;LOJA DE VITAMINAS E SUPLEMENTOS        ;(79) 99943-3280            ;AV HERMES FONTES, 871 - SÃO JOSÉ, ARACAJU - SE, 49020-550                                                                                                                                                          ;AV HERMES FONTES                                                                                                                                               ;871     ;SÃO JOSÉ               ;49020550
ZEUS SUPLEMENTOS                                                       ;Média de avaliações não disponível ;Quantidade de avaliações não disponível ;LOJA DE PRODUTOS NATURAIS              ;(79) 99949-7496            ;R ALOÍSIO CAMPOS, 739 - ATALAIA, ARACAJU - SE, 49035-020                                                                                                                                                           ;R ALOÍSIO CAMPOS                                                                                                                                               ;739     ;ATALAIA                ;49035020
GH SUPLEMENTOS                                                         ;Média de avaliações não disponível ;Quantidade de avaliações não disponível ;LOJA DE VITAMINAS E SUPLEMENTOS        ;(79) 3024-1794             ;R MOIZETE LEITE MENDONÇA, 107 - JABOTIANA, ARACAJU - SE, 49095-650                                                                                                                                                 ;R MOIZETE LEITE MENDONÇA                                                                                                                                       ;107     ;JABOTIANA              ;49095650
ANERI PRODUTOS NATURAIS                                                ;5,0                                ;(4)                                     ;LOJA DE PRODUTOS NATURAIS              ;(79) 3303-1529             ;R LEOPOLDO MESQUITA, 54 - GRAGERU, ARACAJU - SE, 49025-380                                                                                                                                                         ;R LEOPOLDO MESQUITA                                                                                                                                            ;54      ;GRAGERU                ;49025380
VIVA MELHOR SUPPLEMENT                                                 ;Média de avaliações não disponível ;Quantidade de avaliações não disponível ;LOJA DE VITAMINAS E SUPLEMENTOS        ;(79) 99918-8505            ;R JOÃO MELO - LUZIA, ARACAJU - SE, 49045-670                                                                                                                                                                       ;R JOÃO MELO - LUZIA                                                                                                                                            ;ARACAJU ;LUZIA                  ;49045670
IMPÉRIO PRODUTOS NATURAIS                                              ;4,6                                ;(14)                                    ;LOJA DE PRODUTOS NATURAIS              ;(79) 99645-3730            ;R ABGAIL FERREIRA ARAÚJO RAMOS, 538 - LUZIA, ARACAJU - SE, 49047-440                                                                                                                                               ;R ABGAIL FERREIRA ARAÚJO RAMOS                                                                                                                                 ;538     ;LUZIA                  ;49047440
SHAKE MAJU                                                             ;5,0                                ;(8)                                     ;LOJA DE PRODUTOS NATURAIS              ;(79) 99911-4007            ;AV JORGE AMADO, 1589 - JARDINS, ARACAJU - SE, 49025-330                                                                                                                                                            ;AV JORGE AMADO                                                                                                                                                 ;1589    ;JARDINS                ;49025330
FISIOAJU                                                               ;5,0                                ;(2)                                     ;LOJA DE ARTIGOS ESPORTIVOS             ;(79) 99997-0284            ;SHOPPING FAROL - AV MURILO DANTAS, 881 - SALA 10 - FAROLÂNDIA, ARACAJU - SE, 49032-490                                                                                                                             ;SHOPPING FAROL - AV MURILO DANTAS                                                                                                                              ;881     ;FAROLÂNDIA             ;49032490
FLORA PURA ARACAJU                                                     ;5,0                                ;(4)                                     ;LOJA DE PRODUTOS NATURAIS              ;(79) 99131-5688            ;R FENELON SANTOS, N 606 - SALA 04 - SALGADO FILHO, ARACAJU - SE, 49020-350                                                                                                                                         ;R FENELON SANTOS                                                                                                                                               ;N 606   ;SALGADO FILHO          ;49020350
CROCODILO SUPLEMENTOS                                                  ;Média de avaliações não disponível ;Quantidade de avaliações não disponível ;LOJA DE VITAMINAS E SUPLEMENTOS        ;(79) 3259-1925             ;R MANOEL SANTOS SILVA, 7 - BAIRRO PONTO NOVO, CONJUNTO CASTELO BRANCO, ARACAJU - SE, 49097-400                                                                                                                     ;R MANOEL SANTOS SILVA                                                                                                                                          ;7       ;                       ;49097400
MERCADITO FIT JORGE AMADO                                              ;5,0                                ;(5)                                     ;LOJA DE PRODUTOS NATURAIS              ;(79) 99857-5141            ;AV JORGE AMADO, 1589 - JARDINS, ARACAJU - SE, 49025-330                                                                                                                                                            ;AV JORGE AMADO                                                                                                                                                 ;1589    ;JARDINS                ;49025330
ZECA SUPLEMENTOS                                                       ;Média de avaliações não disponível ;Quantidade de avaliações não disponível ;LOJA DE VITAMINAS E SUPLEMENTOS        ;(79) 99165-2141            ;R ROBERTO MORAIS, 288 - SANTOS DUMONT, ARACAJU - SE, 49072-620                                                                                                                                                     ;R ROBERTO MORAIS                                                                                                                                               ;288     ;SANTOS DUMONT          ;49072620
